,,,2018-19 School Grades,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Legend for School Types: 01=Elementary; 02=Middle; 03=High; 04=Combination ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Additional information is available in the School Grades calculations guide at http://www.fldoe.org/accountability/accountability-reporting/school-grades/.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
District Number,District Name,School Number,School Name,Total Points Earned,Total Components,Percent of Total Possible Points,Percent Tested,Grade 2019,Grade 2018,Grade 2017,Grade 2016,Informational Baseline Grade 2015,Grade 2014,Grade 2013,Grade 2012,Grade 2011,Grade 2010,Grade 2009,Grade 2008,Grade 2007,Grade 2006,Grade 2005,Grade 2004,Grade 2003,Grade 2002,Grade 2001,Grade 2000,Grade 1999,Was the collocated rule used?,Collocated Number,Charter School,Title I,Alternative/ESE Center School,School Type,Percent of Minority Students,Percent of Economically Disadvantaged Students
3,BAY,191,OAKLAND TERRACE SCHOOL FOR THE VISUAL AND PERFORMING ARTS,264,7,38,98,D,D,C,D,F,F,D,D,C,C,C,C,C,C,C,B,A,B,C,C,D,N,,NO,YES,N,1,63.7,86.7
3,BAY,201,SURFSIDE MIDDLE SCHOOL,600,9,67,99,A,A,A,A,B,B,B,A,A,A,A,A,A,A,B,B,A,A,A,C,B,N,,NO,NO,N,2,22.9,51.8
3,BAY,211,PARKER ELEMENTARY SCHOOL,326,7,47,98,C,B,C,C,D,D,C,C,C,C,A,C,A,C,B,A,A,B,A,A,C,N,,NO,YES,N,1,52.1,87.5
3,BAY,221,SOUTHPORT ELEMENTARY SCHOOL,307,7,44,100,C,B,B,C,C,D,C,B,A,A,A,A,A,A,A,A,A,A,B,C,C,N,,NO,YES,N,1,7.8,100
3,BAY,251,WALLER ELEMENTARY SCHOOL,323,7,46,100,C,D,C,C,C,D,C,C,C,C,A,B,A,A,A,A,A,D,C,C,D,N,,NO,YES,N,1,9.3,100
3,BAY,262,WEST BAY ELEMENTARY SCHOOL,421,7,60,99,B,A,C,C,,,,,,,,,,,,,,,,,,N,,NO,YES,N,1,17.5,100
3,BAY,331,MOWAT MIDDLE SCHOOL,552,9,61,99,B,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,C,C,N,,NO,NO,N,2,36.3,64.9
3,BAY,341,RUTHERFORD HIGH SCHOOL,441,10,44,96,C,C,C,C,B,C,B,C,B,B,C,B,D,B,B,C,B,C,C,C,C,N,,NO,YES,N,3,54.6,100
3,BAY,461,DEER POINT ELEMENTARY SCHOOL,347,7,50,99,C,C,C,C,B,B,A,C,C,,,,,,,,,,,,,N,,NO,NO,N,1,15.5,68
3,BAY,471,NORTHSIDE ELEMENTARY SCHOOL,404,7,58,100,B,C,C,C,C,C,B,A,A,B,A,A,A,A,A,A,A,A,A,C,C,N,,NO,YES,N,1,42.3,100
